$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.Name,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.Name,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
#N/A;FESBA_BB18-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BB18-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,55,#N/A
#N/A;FESBA_BB20-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BB20-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,56,#N/A
#N/A;FESBA_BB23-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BB23-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,57,#N/A
#N/A;FESBA_BB26-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BB26-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,58,#N/A
#N/A;FESBA_BB29-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BB29-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,59,#N/A
#N/A;FESBA_BC03-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BC03-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,60,#N/A
#N/A;FESBA_BC04-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BC04-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,62,#N/A
#N/A;FESBA_BC05-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BC05-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,63,#N/A
#N/A;FESBA_C127-2;FESBA-FRD;Fuel System Options;Bundle to Bundle Component Relationship,FESBA_C127-2,#N/A,BundleComponent,#N/A,false,false,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Fuel System Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,72,#N/A
#N/A;FESBA_C278-2;FESBA-FRD;Fuel Filter;Bundle to Bundle Component Relationship,FESBA_C278-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Fuel Filter,Bundle to Bundle Component Relationship,1,Proportional,#N/A,74,#N/A
#N/A;FESBA_D036-2;FESBA-FRD;Air Cleaner Duty Rating;Bundle to Bundle Component Relationship,FESBA_D036-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Air Cleaner Duty Rating,Bundle to Bundle Component Relationship,1,Proportional,#N/A,66,#N/A
#N/A;FESBA_D041-2;FESBA-FRD;Air Cleaner Duty Rating;Bundle to Bundle Component Relationship,FESBA_D041-2,#N/A,BundleComponent,#N/A,true,false,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Air Cleaner Duty Rating,Bundle to Bundle Component Relationship,1,Proportional,#N/A,65,#N/A
#N/A;FESBA_E043-2;FESBA-FRD;Cooling System;Bundle to Bundle Component Relationship,FESBA_E043-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Cooling System,Bundle to Bundle Component Relationship,1,Proportional,#N/A,77,#N/A
#N/A;FESBA_E080-2;FESBA-FRD;Cooling System Connection;Bundle to Bundle Component Relationship,FESBA_E080-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Cooling System Connection,Bundle to Bundle Component Relationship,1,Proportional,#N/A,81,#N/A
#N/A;FESBA_E125-2;FESBA-FRD;Cooling System;Bundle to Bundle Component Relationship,FESBA_E125-2,#N/A,BundleComponent,#N/A,false,false,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Cooling System,Bundle to Bundle Component Relationship,1,Proportional,#N/A,78,#N/A
#N/A;FESBA_E126-2;FESBA-FRD;Cooling System;Bundle to Bundle Component Relationship,FESBA_E126-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Cooling System,Bundle to Bundle Component Relationship,1,Proportional,#N/A,79,#N/A
#N/A;FESBA_E128-2;FESBA-FRD;Cooling System;Bundle to Bundle Component Relationship,FESBA_E128-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Cooling System,Bundle to Bundle Component Relationship,1,Proportional,#N/A,80,#N/A
#N/A;FESBA_F258-2;FESBA-FRD;Circuit Breaker or Box Arrangement;Bundle to Bundle Component Relationship,FESBA_F258-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Box Arrangement,Bundle to Bundle Component Relationship,1,Proportional,#N/A,98,#N/A
#N/A;FESBA_F259-2;FESBA-FRD;Circuit Breaker or Box Arrangement;Bundle to Bundle Component Relationship,FESBA_F259-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Box Arrangement,Bundle to Bundle Component Relationship,1,Proportional,#N/A,99,#N/A
#N/A;FESBA_H110-2;FESBA-FRD;Oil System Options;Bundle to Bundle Component Relationship,FESBA_H110-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Oil System Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,71,#N/A
#N/A;FESBA_H244-2;FESBA-FRD;Control Options;Bundle to Bundle Component Relationship,FESBA_H244-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,162,#N/A
#N/A;FESBA_H389-2;FESBA-FRD;Cooling System Protection;Bundle to Bundle Component Relationship,FESBA_H389-2,#N/A,BundleComponent,#N/A,false,false,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Cooling System Protection,Bundle to Bundle Component Relationship,1,Proportional,#N/A,82,#N/A
#N/A;FESBA_H527-2;FESBA-FRD;Cooling System Protection;Bundle to Bundle Component Relationship,FESBA_H527-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Cooling System Protection,Bundle to Bundle Component Relationship,1,Proportional,#N/A,83,#N/A
#N/A;FESBA_H556-2;FESBA-FRD;Coolant Heater;Bundle to Bundle Component Relationship,FESBA_H556-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Coolant Heater,Bundle to Bundle Component Relationship,1,Proportional,#N/A,75,#N/A
#N/A;FESBA_H557-2;FESBA-FRD;Coolant Heater;Bundle to Bundle Component Relationship,FESBA_H557-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Coolant Heater,Bundle to Bundle Component Relationship,1,Proportional,#N/A,76,#N/A
#N/A;FESBA_H606-2;FESBA-FRD;Control Options;Bundle to Bundle Component Relationship,FESBA_H606-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,154,#N/A
#N/A;FESBA_H607-2;FESBA-FRD;Oil System Options;Bundle to Bundle Component Relationship,FESBA_H607-2,#N/A,BundleComponent,#N/A,false,false,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Oil System Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,69,#N/A
#N/A;FESBA_H666-2;FESBA-FRD;Primary Electrical Isolation Device Options;Bundle to Bundle Component Relationship,FESBA_H666-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Primary Electrical Isolation Device Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,127,#N/A
#N/A;FESBA_H678-2;FESBA-FRD;Control Options;Bundle to Bundle Component Relationship,FESBA_H678-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,155,#N/A
#N/A;FESBA_H704-2;FESBA-FRD;Control Main;Bundle to Bundle Component Relationship,FESBA_H704-2,#N/A,BundleComponent,#N/A,true,false,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,135,#N/A
#N/A;FESBA_H720-2;FESBA-FRD;Control Options;Bundle to Bundle Component Relationship,FESBA_H720-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,156,#N/A
#N/A;FESBA_H723-2;FESBA-FRD;Primary Electrical Isolation Device Options;Bundle to Bundle Component Relationship,FESBA_H723-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Primary Electrical Isolation Device Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,128,#N/A
#N/A;FESBA_H724-2;FESBA-FRD;Primary Electrical Isolation Device Options;Bundle to Bundle Component Relationship,FESBA_H724-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Primary Electrical Isolation Device Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,129,#N/A
#N/A;FESBA_H734-2;FESBA-FRD;Oil System Options;Bundle to Bundle Component Relationship,FESBA_H734-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Oil System Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,70,#N/A
#N/A;FESBA_K020-2;FESBA-FRD;Control Options;Bundle to Bundle Component Relationship,FESBA_K020-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,157,#N/A
#N/A;FESBA_K993-2;FESBA-FRD;Differential CT's;Bundle to Bundle Component Relationship,FESBA_K993-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Differential CT's,Bundle to Bundle Component Relationship,1,Proportional,#N/A,93,#N/A
#N/A;FESBA_KA08-2;FESBA-FRD;Control Options;Bundle to Bundle Component Relationship,FESBA_KA08-2,#N/A,BundleComponent,#N/A,false,false,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,158,#N/A
#N/A;FESBA_KB70-2;FESBA-FRD;Load Connections;Bundle to Bundle Component Relationship,FESBA_KB70-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Load Connections,Bundle to Bundle Component Relationship,1,Proportional,#N/A,124,#N/A
#N/A;FESBA_KB71-2;FESBA-FRD;Load Connections;Bundle to Bundle Component Relationship,FESBA_KB71-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Load Connections,Bundle to Bundle Component Relationship,1,Proportional,#N/A,111,#N/A
#N/A;FESBA_KB72-2;FESBA-FRD;Load Connections;Bundle to Bundle Component Relationship,FESBA_KB72-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Load Connections,Bundle to Bundle Component Relationship,1,Proportional,#N/A,125,#N/A
#N/A;FESBA_KB73-2;FESBA-FRD;Load Connections;Bundle to Bundle Component Relationship,FESBA_KB73-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Load Connections,Bundle to Bundle Component Relationship,1,Proportional,#N/A,112,#N/A
#N/A;FESBA_KC52-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KC52-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,116,#N/A
#N/A;FESBA_KC53-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KC53-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,103,#N/A
#N/A;FESBA_KP78-2;FESBA-FRD;Circuit Breaker or Box Arrangement;Bundle to Bundle Component Relationship,FESBA_KP78-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Box Arrangement,Bundle to Bundle Component Relationship,1,Proportional,#N/A,94,#N/A
#N/A;FESBA_KP82-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP82-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,122,#N/A
#N/A;FESBA_KP83-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP83-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,109,#N/A
#N/A;FESBA_KP84-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP84-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,121,#N/A
#N/A;FESBA_KP85-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP85-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,108,#N/A
#N/A;FESBA_KP86-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP86-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,120,#N/A
#N/A;FESBA_KP87-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP87-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,107,#N/A
#N/A;FESBA_KP88-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP88-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,119,#N/A
#N/A;FESBA_KP89-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP89-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,106,#N/A
#N/A;FESBA_KP90-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP90-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,118,#N/A
#N/A;FESBA_KP91-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP91-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,105,#N/A
#N/A;FESBA_KP92-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP92-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,117,#N/A
#N/A;FESBA_KP93-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP93-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,104,#N/A
#N/A;FESBA_KP94-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KP94-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,114,#N/A
#N/A;FESBA_KP98-2;FESBA-FRD;Primary Electrical Isolation Device Options;Bundle to Bundle Component Relationship,FESBA_KP98-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Primary Electrical Isolation Device Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,130,#N/A
#N/A;FESBA_KP99-2;FESBA-FRD;Primary Electrical Isolation Device Options;Bundle to Bundle Component Relationship,FESBA_KP99-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Primary Electrical Isolation Device Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,131,#N/A
#N/A;FESBA_KR01-2;FESBA-FRD;Primary Electrical Isolation Device Options;Bundle to Bundle Component Relationship,FESBA_KR01-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Primary Electrical Isolation Device Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,132,#N/A
#N/A;FESBA_KR02-2;FESBA-FRD;Primary Electrical Isolation Device Options;Bundle to Bundle Component Relationship,FESBA_KR02-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Primary Electrical Isolation Device Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,133,#N/A
#N/A;FESBA_KR08-2;FESBA-FRD;Differential CT's;Bundle to Bundle Component Relationship,FESBA_KR08-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Differential CT's,Bundle to Bundle Component Relationship,1,Proportional,#N/A,92,#N/A
#N/A;FESBA_KR78-2;FESBA-FRD;Output Terminals;Bundle to Bundle Component Relationship,FESBA_KR78-2,#N/A,BundleComponent,#N/A,true,false,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Output Terminals,Bundle to Bundle Component Relationship,1,Proportional,#N/A,91,#N/A
#N/A;FESBA_KS53-2;FESBA-FRD;Control Options;Bundle to Bundle Component Relationship,FESBA_KS53-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,160,#N/A
#N/A;FESBA_KS57-2;FESBA-FRD;Circuit Breaker or Box Arrangement;Bundle to Bundle Component Relationship,FESBA_KS57-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Box Arrangement,Bundle to Bundle Component Relationship,1,Proportional,#N/A,100,#N/A
#N/A;FESBA_KS58-2;FESBA-FRD;Circuit Breaker or Box Arrangement;Bundle to Bundle Component Relationship,FESBA_KS58-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Box Arrangement,Bundle to Bundle Component Relationship,1,Proportional,#N/A,101,#N/A
#N/A;FESBA_KU62-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KU62-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,123,#N/A
#N/A;FESBA_KU68-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KU68-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,110,#N/A
#N/A;FESBA_KU70-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KU70-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,115,#N/A
#N/A;FESBA_KU71-2;FESBA-FRD;Circuit Breaker or Terminal Box;Bundle to Bundle Component Relationship,FESBA_KU71-2,#N/A,BundleComponent,#N/A,true,false,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Terminal Box,Bundle to Bundle Component Relationship,1,Proportional,#N/A,102,#N/A
#N/A;FESBA_KU83-2;FESBA-FRD;Load Connections;Bundle to Bundle Component Relationship,FESBA_KU83-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Load Connections,Bundle to Bundle Component Relationship,1,Proportional,#N/A,113,#N/A
#N/A;FESBA_KU84-2;FESBA-FRD;Load Connections;Bundle to Bundle Component Relationship,FESBA_KU84-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Load Connections,Bundle to Bundle Component Relationship,1,Proportional,#N/A,126,#N/A
#N/A;FESBA_KU93-2;FESBA-FRD;Circuit Breaker or Box Arrangement;Bundle to Bundle Component Relationship,FESBA_KU93-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Box Arrangement,Bundle to Bundle Component Relationship,1,Proportional,#N/A,95,#N/A
#N/A;FESBA_KU94-2;FESBA-FRD;Circuit Breaker or Box Arrangement;Bundle to Bundle Component Relationship,FESBA_KU94-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Box Arrangement,Bundle to Bundle Component Relationship,1,Proportional,#N/A,96,#N/A
#N/A;FESBA_KU95-2;FESBA-FRD;Circuit Breaker or Box Arrangement;Bundle to Bundle Component Relationship,FESBA_KU95-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Circuit Breaker or Box Arrangement,Bundle to Bundle Component Relationship,1,Proportional,#N/A,97,#N/A
#N/A;FESBA_KU99-2;FESBA-FRD;Primary Electrical Isolation Device Options;Bundle to Bundle Component Relationship,FESBA_KU99-2,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Primary Electrical Isolation Device Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,134,#N/A
#N/A;FESBA_KX21-2;FESBA-FRD;Control Main;Bundle to Bundle Component Relationship,FESBA_KX21-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,136,#N/A
#N/A;FESBA_KX24-2;FESBA-FRD;Control Options;Bundle to Bundle Component Relationship,FESBA_KX24-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,159,#N/A
#N/A;FESBA_KY01-2;FESBA-FRD;Control Options;Bundle to Bundle Component Relationship,FESBA_KY01-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,161,#N/A
#N/A;FESBA_L010-2;FESBA-FRD;Testing;Bundle to Bundle Component Relationship,FESBA_L010-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Testing,Bundle to Bundle Component Relationship,1,Proportional,#N/A,179,#N/A
#N/A;FESBA_L011-2;FESBA-FRD;Testing;Bundle to Bundle Component Relationship,FESBA_L011-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Testing,Bundle to Bundle Component Relationship,1,Proportional,#N/A,166,#N/A
#N/A;FESBA_L012-2;FESBA-FRD;Testing;Bundle to Bundle Component Relationship,FESBA_L012-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Testing,Bundle to Bundle Component Relationship,1,Proportional,#N/A,167,#N/A
#N/A;FESBA_L013-2;FESBA-FRD;Testing;Bundle to Bundle Component Relationship,FESBA_L013-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Testing,Bundle to Bundle Component Relationship,1,Proportional,#N/A,168,#N/A
#N/A;FESBA_L014-2;FESBA-FRD;Testing;Bundle to Bundle Component Relationship,FESBA_L014-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Testing,Bundle to Bundle Component Relationship,1,Proportional,#N/A,169,#N/A
#N/A;FESBA_L015-2;FESBA-FRD;Testing;Bundle to Bundle Component Relationship,FESBA_L015-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Testing,Bundle to Bundle Component Relationship,1,Proportional,#N/A,170,#N/A
