$$Product.StockKeepingUnit$RateCardEntry.RateCard.Name$RateUnitOfMeasure.UnitCode$UsageResource.Code$LowerBound$UpperBound,AdjustmentType,AdjustmentValue,EffectiveFrom,EffectiveTo,LowerBound,Product.StockKeepingUnit,ProductSellingModel.Name,RateCardEntry.$$Product.StockKeepingUnit$RateCard.Name$UsageResource.Code$RateUnitOfMeasure.UnitCode,RateCardEntryStatus,RateUnitOfMeasure.Name,RateUnitOfMeasureName,UpperBound,UsageResource.Name
QB-DB;Tier Rate Card;USD;UR-DATASTORAGE;10;25,Override,12.5,2023-01-01T20:00:00.000+0000,,10,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;USD,Active,USD,USD,25,Data Storage
QB-DB;Tier Rate Card;USD;UR-DATASTORAGE;1;10,Percentage,0,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;USD,Active,USD,USD,10,Data Storage
QB-DB;Tier Rate Card;USD;UR-DATASTORAGE;25;100,Override,15,2023-01-01T20:00:00.000+0000,,25,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;USD,Active,USD,USD,100,Data Storage
QB-MTY-CMT;Tier Rate Card;AUD;UR-CPUTIME;0;,Percentage,5,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;AUD,Active,AUD,AUD,,Compute Time
QB-MTY-CMT;Tier Rate Card;AUD;UR-DATASTORAGE;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-DATASTORAGE;AUD,Active,AUD,AUD,,Data Storage
QB-MTY-CMT;Tier Rate Card;CAD;UR-CPUTIME;0;,Percentage,5,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;CAD,Active,CAD,CAD,,Compute Time
QB-MTY-CMT;Tier Rate Card;CAD;UR-DATASTORAGE;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-DATASTORAGE;CAD,Active,CAD,CAD,,Data Storage
QB-MTY-CMT;Tier Rate Card;CHF;UR-CPUTIME;0;,Percentage,5,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;CHF,Active,CHF,CHF,,Compute Time
QB-MTY-CMT;Tier Rate Card;CHF;UR-DATASTORAGE;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-DATASTORAGE;CHF,Active,CHF,CHF,,Data Storage
QB-MTY-CMT;Tier Rate Card;EUR;UR-CPUTIME;0;,Percentage,5,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;EUR,Active,EUR,EUR,,Compute Time
QB-MTY-CMT;Tier Rate Card;EUR;UR-DATASTORAGE;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-DATASTORAGE;EUR,Active,EUR,EUR,,Data Storage
QB-MTY-CMT;Tier Rate Card;GBP;UR-CPUTIME;0;,Percentage,5,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;GBP,Active,GBP,GBP,,Compute Time
QB-MTY-CMT;Tier Rate Card;GBP;UR-DATASTORAGE;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-DATASTORAGE;GBP,Active,GBP,GBP,,Data Storage
QB-MTY-CMT;Tier Rate Card;JPY;UR-CPUTIME;0;,Percentage,5,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;JPY,Active,JPY,JPY,,Compute Time
QB-MTY-CMT;Tier Rate Card;JPY;UR-DATASTORAGE;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-DATASTORAGE;JPY,Active,JPY,JPY,,Data Storage
QB-MTY-CMT;Tier Rate Card;USD;UR-CPUTIME;0;,Percentage,5,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;USD,Active,USD,USD,,Compute Time
QB-MTY-CMT;Tier Rate Card;USD;UR-DATASTORAGE;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;UR-DATASTORAGE;USD,Active,USD,USD,,Data Storage
QB-QTY-CMT;Tier Rate Card;AUD;UR-CPUTIME;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-CPUTIME;AUD,Active,AUD,AUD,,Compute Time
QB-QTY-CMT;Tier Rate Card;AUD;UR-DATASTORAGE;0;,Percentage,20,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-DATASTORAGE;AUD,Active,AUD,AUD,,Data Storage
QB-QTY-CMT;Tier Rate Card;CAD;UR-CPUTIME;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-CPUTIME;CAD,Active,CAD,CAD,,Compute Time
QB-QTY-CMT;Tier Rate Card;CAD;UR-DATASTORAGE;0;,Percentage,20,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-DATASTORAGE;CAD,Active,CAD,CAD,,Data Storage
QB-QTY-CMT;Tier Rate Card;CHF;UR-CPUTIME;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-CPUTIME;CHF,Active,CHF,CHF,,Compute Time
QB-QTY-CMT;Tier Rate Card;CHF;UR-DATASTORAGE;0;,Percentage,20,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-DATASTORAGE;CHF,Active,CHF,CHF,,Data Storage
QB-QTY-CMT;Tier Rate Card;EUR;UR-CPUTIME;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-CPUTIME;EUR,Active,EUR,EUR,,Compute Time
QB-QTY-CMT;Tier Rate Card;EUR;UR-DATASTORAGE;0;,Percentage,20,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-DATASTORAGE;EUR,Active,EUR,EUR,,Data Storage
QB-QTY-CMT;Tier Rate Card;GBP;UR-CPUTIME;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-CPUTIME;GBP,Active,GBP,GBP,,Compute Time
QB-QTY-CMT;Tier Rate Card;GBP;UR-DATASTORAGE;0;,Percentage,20,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-DATASTORAGE;GBP,Active,GBP,GBP,,Data Storage
QB-QTY-CMT;Tier Rate Card;JPY;UR-CPUTIME;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-CPUTIME;JPY,Active,JPY,JPY,,Compute Time
QB-QTY-CMT;Tier Rate Card;JPY;UR-DATASTORAGE;0;,Percentage,20,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-DATASTORAGE;JPY,Active,JPY,JPY,,Data Storage
QB-QTY-CMT;Tier Rate Card;USD;UR-CPUTIME;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-CPUTIME;USD,Active,USD,USD,,Compute Time
QB-QTY-CMT;Tier Rate Card;USD;UR-DATASTORAGE;0;,Percentage,20,2023-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;UR-DATASTORAGE;USD,Active,USD,USD,,Data Storage
